Analyte,Wavelength,Mermet_ax,Wash3,2ppm_Fe_ax,20ppmFe_ax,200ppmFe_ax,700ppmFe_ax,1000ppmFe_ax,2000ppmFe_ax,10000ppmFe_ax
Ta 226.230,226.2258,757.0,748.8,759.6,867.7,1889.1,4167.0,5375.4,8679.4,24056.6
Ta 226.230,226.2327,793.5,785.7,796.2,873.9,1601.2,3124.8,3924.9,6029.4,15554.3
Ta 226.230,226.2397,728.3,721.3,731.0,808.9,1565.4,3185.1,4024.0,6285.4,16923.3
Ta 226.230,226.2466,713.2,709.6,711.7,790.1,1518.8,3062.4,3861.9,6012.4,16024.2
Ta 226.230,226.2535,693.9,689.1,696.0,778.9,1576.8,3344.7,4263.1,6792.7,19278.4
Ta 226.230,226.2604,794.6,786.8,823.5,1146.4,4287.6,12362.3,17060.1,30765.2,112774.9
Ta 226.230,226.2673,883.7,862.6,1049.9,2726.6,19136.3,62157.8,87352.7,162541.6,636178.8
Cd 226.502,226.44799999999998,1293.0,1268.9,1347.7,2035.2,8780.6,25911.4,36037.2,65656.3,262034.3
Cd 226.502,226.4549,1194.0,1172.7,1222.9,1602.9,5263.2,14238.1,19229.8,33380.9,108496.9
Cd 226.502,226.4618,1261.4,1227.5,1340.5,2322.2,11773.2,35438.8,48737.7,86372.7,270596.5
Cd 226.502,226.4688,1372.9,1354.8,1417.7,1982.6,7333.3,20504.7,27777.0,48270.2,145456.0
Cd 226.502,226.4757,1328.2,1302.0,1331.7,1563.1,3681.3,8573.7,11189.8,18141.3,47905.9
Cd 226.502,226.4826,1436.2,1416.3,1445.3,1638.7,3473.3,7629.6,9765.5,15283.6,36457.4
Cd 226.502,226.4896,1337.0,1319.2,1340.7,1521.4,3267.2,7216.7,9269.5,14649.3,36688.3
Cd 226.502,226.4965,1230.2,1201.5,1224.4,1435.4,3400.9,7961.7,10411.8,16937.4,47858.2
Cd 226.502,226.5034,1343.6,1324.4,1366.3,1809.0,6036.5,16662.6,22901.3,40760.3,156913.1
Cd 226.502,226.5103,1353.5,1325.5,1362.0,1719.8,5083.5,13351.8,18060.5,31470.6,113981.0
Cd 226.502,226.5173,1337.7,1318.9,1345.1,1543.1,3446.0,7793.2,10049.9,16041.8,41996.5
Cd 226.502,226.5242,1405.8,1381.6,1409.0,1585.6,3323.1,7201.3,9222.0,14407.8,34561.3
Cd 226.502,226.5311,1327.4,1301.6,1324.3,1568.4,3836.3,9091.3,11908.1,19413.5,52512.6
Cd 226.502,226.5381,1332.2,1305.0,1336.2,1552.5,3631.1,8417.6,10918.7,17657.3,47051.2
Cd 226.502,226.545,1407.5,1377.4,1399.9,1605.6,3490.9,7744.6,9954.7,15726.2,38014.6
Cd 226.502,226.5519,1409.6,1393.7,1413.2,1639.7,3655.0,8288.7,10710.9,17164.4,44183.8
Cd 226.502,226.5589,1426.7,1404.8,1427.2,1630.9,3502.6,7787.2,10025.2,16005.8,41513.0
Cd 226.502,226.5658,1306.5,1275.6,1305.6,1498.8,3374.1,7627.6,9868.9,15762.5,40207.6
Cd 226.502,226.5727,1490.5,1484.8,1508.9,1691.1,3442.5,7406.4,9496.2,15055.0,38672.8
Cd 226.502,226.5796,1457.5,1439.1,1467.2,1670.6,3621.3,8161.7,10598.0,17251.6,48340.3
Cd 226.502,226.5866,1438.9,1420.5,1500.1,2250.5,9526.1,28382.0,39490.1,72021.3,268659.3
Cd 226.502,226.5935,1390.8,1356.9,1553.0,3272.3,20210.2,64423.5,90460.2,168030.4,662518.7
Ni 227.022,226.9678,1193.6,1168.8,1194.9,1364.3,2856.4,6088.8,7633.2,11451.2,26022.6
Ni 227.022,226.9747,1170.6,1139.7,1163.9,1337.1,2880.1,6223.7,7802.3,11737.9,26786.1
Ni 227.022,226.9816,1190.1,1170.4,1187.5,1380.7,3053.8,6595.7,8261.8,12315.6,27642.8
Ni 227.022,226.9886,1185.8,1166.4,1183.5,1416.5,3466.8,7605.2,9454.0,13812.1,29275.3
Ni 227.022,226.9955,1185.7,1165.0,1198.2,1448.0,3685.3,8167.2,10121.8,14652.1,30408.3
Ni 227.022,227.0025,1205.6,1188.9,1215.0,1503.4,3947.1,8786.6,10855.4,15594.6,31663.5
Ni 227.022,227.0094,1239.8,1219.1,1250.8,1528.1,3927.1,8698.9,10757.1,15606.2,32072.1
Ni 227.022,227.0163,1222.8,1198.0,1238.5,1516.4,3978.7,8918.2,11062.7,16057.9,33226.9
Ni 227.022,227.0233,1258.2,1239.3,1283.9,1572.7,4213.9,9458.5,11719.0,16994.7,35207.7
Ni 227.022,227.0302,1319.7,1292.9,1336.1,1644.9,4337.2,9727.1,12138.0,17778.8,38101.0
Ni 227.022,227.0372,1240.7,1222.2,1256.3,1581.8,4401.0,10048.4,12519.9,18318.1,39135.2
Ni 227.022,227.0441,1208.0,1183.8,1231.9,1540.6,4328.4,9842.0,12183.2,17579.6,35572.3
Ni 227.022,227.051,1249.1,1229.8,1265.5,1587.8,4363.3,9867.5,12252.6,17707.9,36036.3
Ni 227.022,227.058,1266.5,1248.1,1284.5,1606.6,4447.1,10123.0,12584.1,18313.4,38470.7
Re 227.525,227.4718,1067.8,1057.7,1075.1,1215.6,2565.6,5646.3,7187.5,11222.6,27247.1
Re 227.525,227.4787,1089.2,1078.2,1089.7,1244.3,2595.0,5725.1,7279.3,11350.4,27364.6
Re 227.525,227.4857,1104.3,1084.8,1112.8,1257.7,2635.8,5801.3,7384.8,11491.7,27625.5
Re 227.525,227.4926,1103.4,1084.2,1102.8,1258.9,2641.2,5824.6,7425.5,11597.1,27961.5
Re 227.525,227.4996,1167.6,1142.8,1169.5,1324.9,2736.4,6036.5,7701.3,12037.1,29258.6
Re 227.525,227.5066,1137.0,1118.9,1139.9,1295.9,2765.5,6183.0,7923.8,12472.7,31213.0
Re 227.525,227.5135,1094.9,1081.7,1113.2,1367.7,3783.3,9826.2,13239.2,22731.3,78916.0
Re 227.525,227.5205,1113.2,1101.5,1138.6,1494.1,4747.0,13141.6,17919.7,31707.7,119035.6
Re 227.525,227.5274,1215.1,1200.2,1223.2,1421.8,3218.8,7523.1,9775.9,15860.7,43702.9
Re 227.525,227.5344,1101.2,1078.9,1106.1,1283.6,2947.3,6842.3,8819.7,14053.7,35371.8
Re 227.525,227.5414,1060.4,1037.7,1061.3,1255.7,3020.0,7126.8,9234.9,14668.3,35422.2
Re 227.525,227.5483,1119.6,1087.2,1115.7,1319.9,3182.4,7582.3,9853.7,15860.0,40458.7
Re 227.525,227.5553,1065.3,1045.7,1087.6,1403.8,4370.1,11867.9,15980.7,27509.3,91370.6
Re 227.525,227.5622,1046.0,1031.9,1059.0,1321.4,3700.1,9530.2,12631.5,21184.5,63776.8
Os 228.226,228.1728,754.4,728.2,751.9,912.6,2259.9,4731.6,5817.8,8310.9,18508.1
Os 228.226,228.1798,787.3,761.0,777.5,918.6,2132.6,4406.1,5415.8,7849.0,17738.2
Os 228.226,228.1868,838.3,816.3,824.7,933.3,1838.4,3769.3,4696.8,6995.7,16681.7
Os 228.226,228.1938,750.7,729.7,741.5,841.0,1791.5,3887.9,4980.0,7740.0,21384.5
Os 228.226,228.2008,738.6,720.2,736.8,849.9,1877.8,4218.2,5440.7,8664.8,26064.6
Os 228.226,228.2077,783.5,767.1,779.4,883.3,1730.3,3589.7,4521.7,6883.5,17053.7
Os 228.226,228.2147,837.0,821.9,830.7,927.0,1762.5,3575.9,4484.3,6760.5,16329.4
Os 228.226,228.2217,763.5,748.4,756.7,851.6,1695.2,3517.2,4418.5,6713.6,16377.5
Os 228.226,228.2287,736.7,715.7,723.3,819.2,1683.8,3538.4,4466.9,6803.9,16716.9
Os 228.226,228.2357,740.5,729.7,738.1,830.3,1695.1,3571.1,4510.4,6899.9,16989.8
Os 228.226,228.2426,747.2,727.4,743.5,840.2,1722.7,3670.6,4641.0,7123.6,17662.9
Os 228.226,228.2496,758.8,744.9,762.1,857.8,1728.9,3638.5,4597.7,6989.4,17185.3
Os 228.226,228.2566,735.4,714.7,726.3,831.9,1719.8,3677.7,4671.6,7156.3,17612.6
Os 228.226,228.2636,722.4,707.3,718.4,818.5,1711.4,3660.2,4624.3,7064.8,17341.2
Co 228.616,228.5629,568.4,556.2,567.8,659.2,1451.3,3184.8,4036.2,6150.8,13911.4
Co 228.616,228.5699,565.1,545.2,558.8,647.1,1433.9,3143.2,3984.9,6075.7,13791.8
Co 228.616,228.5769,601.7,588.2,597.4,688.1,1476.4,3203.5,4050.6,6163.0,14000.4
Co 228.616,228.5839,604.0,586.3,600.6,687.9,1500.7,3307.6,4206.9,6442.6,14900.8
Co 228.616,228.5908,625.0,601.6,612.0,699.6,1505.6,3284.5,4164.5,6395.4,14830.5
Co 228.616,228.5978,637.8,554.2,559.2,648.7,1410.4,3108.2,3959.5,6075.4,13998.7
Co 228.616,228.6048,579.8,543.3,554.1,634.6,1416.7,3130.0,4001.2,6164.9,14395.8
Co 228.616,228.6118,549.5,536.8,545.7,633.8,1455.5,3277.6,4244.5,6546.9,15630.5
Co 228.616,228.6188,536.1,525.8,535.6,622.2,1410.3,3182.0,4085.1,6319.6,15034.9
Co 228.616,228.6258,577.5,562.2,575.6,654.9,1400.5,3061.7,3883.2,5956.1,13685.5
Co 228.616,228.6328,558.7,547.6,552.2,634.3,1353.3,2943.5,3747.1,5755.1,13397.2
Co 228.616,228.6398,512.3,495.5,504.1,587.9,1328.7,2978.3,3832.0,5971.4,14697.5
Co 228.616,228.6468,503.9,484.2,502.9,579.2,1316.2,2979.8,3822.0,5958.4,14699.2
Co 228.616,228.6538,557.3,542.9,552.2,625.7,1324.4,2870.7,3656.1,5610.7,13082.7
Cd 228.802,228.7489,453.8,436.4,447.1,536.7,1330.2,3186.3,4243.0,6984.0,19945.4
Cd 228.802,228.7559,468.2,444.7,465.9,595.4,1826.4,4840.4,6679.4,11618.1,41018.8
Cd 228.802,228.7629,447.7,428.3,457.4,716.8,3130.3,9213.2,13066.0,23863.7,96080.7
Cd 228.802,228.7699,447.2,429.9,445.5,534.2,1391.4,3418.7,4576.6,7641.5,23294.4
Cd 228.802,228.7769,463.1,447.7,458.6,526.7,1154.3,2589.5,3370.5,5337.6,13440.0
Cd 228.802,228.7839,456.3,437.4,442.9,509.6,1104.5,2462.3,3202.0,5031.3,12326.4
Cd 228.802,228.7909,448.7,435.6,443.5,502.1,1092.1,2413.9,3135.8,4908.1,11925.4
Cd 228.802,228.7979,472.7,457.6,461.6,528.1,1104.2,2392.3,3101.1,4829.2,11529.4
Cd 228.802,228.8049,478.8,464.2,468.3,528.5,1094.7,2360.0,3052.7,4743.4,11277.5
Cd 228.802,228.8119,505.7,491.7,500.0,557.2,1114.9,2355.0,3034.3,4687.2,11102.7
Cd 228.802,228.8189,441.0,426.9,431.1,492.2,1031.4,2254.4,2920.4,4552.8,10809.8
Cd 228.802,228.8259,422.9,411.8,417.2,472.6,1003.7,2208.2,2866.2,4465.4,10510.1
Cd 228.802,228.8329,428.1,408.9,416.0,473.7,1008.0,2205.5,2871.2,4475.7,10532.4
Cd 228.802,228.8399,439.6,425.4,434.2,488.6,1018.9,2199.5,2846.0,4416.5,10384.1
Ba 230.425,230.3767,1074.0,828.2,848.7,1031.4,2758.5,6839.6,8977.8,14620.4,37976.7
Ba 230.425,230.3837,1144.4,819.3,846.1,1036.5,2782.3,6933.7,9085.1,14821.0,38153.8
Ba 230.425,230.3908,1465.1,830.9,857.0,1037.9,2721.9,6683.3,8744.9,14175.5,36292.9
Ba 230.425,230.3978,1875.1,849.6,869.4,1039.6,2573.4,6169.2,7977.2,12778.5,31147.6
Ba 230.425,230.4049,1942.0,945.3,957.0,1127.9,2621.9,6096.8,7843.3,12430.0,29850.4
Ba 230.425,230.4119,2947.1,885.6,910.0,1066.3,2549.3,5928.6,7623.8,12062.8,28768.8
Ba 230.425,230.419,30134.8,855.7,878.3,1033.6,2547.8,5947.9,7624.2,11991.8,28297.9
Ba 230.425,230.426,120213.9,898.5,937.3,1105.1,2733.2,6265.7,7975.2,12317.0,28291.7
Ba 230.425,230.4331,17649.0,926.7,946.3,1139.9,2860.4,6450.1,8166.4,12424.0,27869.9
Ba 230.425,230.4401,2784.9,927.5,949.6,1159.2,3014.2,6768.2,8512.7,12796.6,28403.0
Ba 230.425,230.4472,1778.8,868.4,892.0,1115.9,3044.3,6912.4,8677.2,13009.3,28964.5
Ba 230.425,230.4542,1868.7,867.6,893.9,1114.3,3028.3,6917.3,8698.6,13135.5,29610.3
Ba 230.425,230.4613,1386.3,860.8,884.1,1121.4,3129.5,7234.2,9111.1,13789.4,31256.9
Ba 230.425,230.4683,1157.5,852.9,917.6,1440.0,6145.5,17311.3,23188.5,39336.4,117614.1
Ba 230.425,230.4754,1136.5,890.5,975.5,1724.8,8529.6,25364.8,34469.4,60253.4,190593.6
Ba 230.425,230.4824,1342.6,1132.9,1166.2,1437.8,3744.9,8519.0,10767.6,16488.5,39929.2
Ba 230.425,230.4895,1296.6,1116.7,1150.6,1425.1,3750.8,8506.0,10682.4,16207.5,37897.0
Ba 230.425,230.4965,1046.4,893.0,920.9,1156.5,3165.3,7172.8,8980.6,13455.2,29969.8
Ba 230.425,230.5036,1134.9,997.5,1024.0,1253.7,3173.3,6965.9,8640.3,12782.5,27550.0
Ba 230.425,230.5106,1171.9,1015.0,1042.1,1278.8,3269.7,7075.3,8725.2,12703.7,26644.5
Ba 230.425,230.5177,997.6,849.6,876.3,1107.9,3071.1,6858.5,8505.3,12512.5,26477.3
Ba 230.425,230.5247,941.5,826.0,858.0,1102.8,3185.3,7097.6,8807.8,12816.1,26740.0
Ba 230.425,230.5318,918.8,813.5,840.8,1074.5,3117.6,6974.0,8644.2,12641.0,26479.7
Ba 230.425,230.5388,917.4,814.4,836.4,1083.5,3124.6,6981.9,8642.3,12649.3,26627.4
Ba 230.425,230.5459,925.7,823.1,853.3,1109.8,3209.1,7106.5,8773.2,12727.0,26441.1
Ba 230.425,230.5529,934.3,844.8,869.4,1108.9,3127.1,6891.2,8514.0,12394.9,25788.8
Ba 230.425,230.56,934.1,831.7,860.2,1044.8,2674.8,6029.2,7581.5,11511.1,25824.6
Ba 230.425,230.567,908.8,821.5,839.2,1011.2,2525.3,5900.8,7590.5,11933.7,28812.9
Ba 230.425,230.5741,882.3,795.0,811.5,965.9,2346.7,5421.0,6917.4,10787.6,25104.6
Ba 230.425,230.5811,893.5,808.5,827.7,986.8,2376.1,5462.4,6988.7,10961.7,25643.9
Ba 230.425,230.5882,878.4,796.5,812.4,964.6,2349.7,5391.9,6897.7,10788.0,25096.7
Ba 230.425,230.5952,911.3,826.0,851.6,1011.1,2438.0,5632.4,7212.0,11319.3,26577.5
Ba 230.425,230.6023,944.9,864.7,880.7,1036.0,2462.5,5606.2,7152.7,11193.9,26087.9
Ba 230.425,230.6093,901.7,819.7,832.1,1007.0,2607.5,6194.5,8033.9,12901.5,34247.7
Ba 230.425,230.6164,880.5,812.1,836.8,1026.7,2832.2,6980.9,9150.6,15038.5,44003.8
Ba 230.425,230.6234,890.4,815.2,839.7,1001.5,2477.6,5754.6,7361.3,11585.4,27923.5
Ba 230.425,230.6305,935.1,868.1,894.4,1125.3,3240.2,8236.4,10879.5,18111.5,53405.7
Ba 230.425,230.6375,901.9,821.7,851.8,1125.1,3645.4,9651.9,12899.3,21907.4,69390.7
Sb 231.146,231.0926,1692.9,1523.7,1547.7,1734.7,3412.2,7344.8,9366.5,14547.4,33202.0
Sb 231.146,231.0997,1668.9,1506.5,1534.2,1722.5,3417.3,7423.2,9454.8,14772.6,34302.5
Sb 231.146,231.1068,1646.7,1499.9,1526.0,1711.9,3418.8,7467.9,9499.0,14918.6,35121.0
Sb 231.146,231.1138,1632.1,1497.6,1523.2,1731.6,3622.8,8139.2,10469.7,16690.9,40691.6
Sb 231.146,231.1209,1681.9,1547.3,1611.0,2082.7,6372.1,17427.4,23434.8,40215.6,116528.7
Sb 231.146,231.128,1684.4,1573.8,1630.1,2099.5,6521.9,17821.7,23955.2,41223.5,119355.6
Sb 231.146,231.135,1667.0,1563.3,1603.6,1842.7,4234.7,10036.2,13093.9,21376.9,55876.5
Sb 231.146,231.1421,1635.0,1533.5,1552.5,1748.7,3458.8,7452.8,9466.1,14809.6,34754.2
Sb 231.146,231.1492,1632.4,1541.9,1569.8,1746.4,3368.6,7168.8,9079.0,14069.6,32265.6
Sb 231.146,231.1562,1696.7,1605.9,1617.7,1815.9,3445.6,7308.4,9266.1,14340.0,32871.7
Sb 231.146,231.1633,1720.8,1639.1,1661.7,1850.2,3510.7,7418.4,9403.4,14558.7,33583.9
Sb 231.146,231.1704,1685.4,1609.2,1639.4,1825.4,3554.0,7625.6,9691.7,15126.7,35515.5
Sb 231.146,231.1775,1757.0,1698.7,1723.1,1908.8,3641.5,7765.6,9871.5,15402.4,36384.6
Sb 231.146,231.1845,1822.8,1767.2,1802.3,2014.1,4034.3,8936.7,11462.2,18253.7,45909.8
Ni 231.604,231.5497,1714.1,1684.7,1708.9,1918.0,3857.3,8247.6,10679.8,16525.0,35368.8
Ni 231.604,231.5567,1902.1,1873.1,1906.1,2108.2,4019.6,8323.0,10706.6,16416.8,35052.3
Ni 231.604,231.5638,1927.3,1896.3,1922.6,2139.7,4005.2,8202.0,10533.1,16066.8,33942.2
Ni 231.604,231.5709,1705.3,1663.1,1698.4,1903.0,3793.2,8065.4,10397.1,16027.6,34730.2
Ni 231.604,231.578,1720.5,1703.1,1724.1,1926.0,3810.8,8023.1,10369.3,15937.3,34631.9
Ni 231.604,231.5851,1922.2,1898.8,1931.8,2133.0,3983.5,8139.5,10409.5,15838.1,33884.9
Ni 231.604,231.5921,1947.8,1931.3,1951.5,2162.5,3990.2,8103.7,10362.2,15740.3,33810.6
Ni 231.604,231.5992,1820.0,1806.7,1820.1,2034.1,3919.0,8074.7,10308.7,15605.6,33273.0
Ni 231.604,231.6063,2102.0,2083.6,2111.4,2329.7,4294.2,8537.3,10780.7,16134.7,33662.9
Ni 231.604,231.6134,2170.7,2146.2,2166.5,2381.1,4203.5,8193.6,10349.5,15454.2,32393.9
Ni 231.604,231.6205,2176.0,2143.8,2176.2,2384.9,4231.9,8249.3,10396.0,15454.4,32379.0
Ni 231.604,231.6275,2358.4,2334.4,2347.9,2567.6,4387.1,8367.8,10494.4,15517.5,32265.6
Ni 231.604,231.6346,1885.8,1848.6,1875.0,2070.6,3871.2,7778.6,9891.1,14833.9,31696.9
Ni 231.604,231.6417,1847.6,1804.0,1823.4,2038.5,3871.9,7846.5,9992.2,15008.4,32209.3
Ni 232.003,231.9486,1476.7,1447.4,1529.8,2242.2,8864.2,22940.5,29584.9,46310.4,93253.2
Ni 232.003,231.9557,1779.2,1747.7,1829.8,2577.3,9368.1,23918.6,30933.3,48473.8,97954.7
Ni 232.003,231.9628,1559.6,1518.3,1611.8,2426.1,9910.5,26333.8,34486.1,55417.1,123109.0
Ni 232.003,231.9699,1421.0,1380.9,1469.0,2276.8,9607.1,25578.0,33476.7,54081.9,130511.2
Ni 232.003,231.977,1496.4,1457.3,1536.3,2224.6,8482.3,21852.0,28333.7,44907.3,97684.7
Ni 232.003,231.9841,1921.0,1900.5,1974.8,2567.0,8019.0,19622.5,25246.3,39452.6,80762.8
Ni 232.003,231.9912,1558.4,1533.4,1600.4,2174.3,7418.0,18435.6,23686.3,37140.4,75575.7
Ni 232.003,231.9983,1399.1,1363.2,1439.1,2018.0,7359.6,18541.0,23845.1,37454.6,78666.8
Ni 232.003,232.0054,1418.5,1388.0,1454.2,2011.0,7213.1,18467.3,24011.8,38672.0,89838.9
Ni 232.003,232.0125,1426.3,1398.9,1465.6,1985.5,6884.0,17560.5,22898.3,36981.7,86764.1
Ni 232.003,232.0196,1460.0,1440.8,1501.1,2045.4,7105.9,18361.5,24170.8,39834.8,103186.5
Ni 232.003,232.0267,1509.7,1472.4,1649.0,3156.8,17940.1,55872.6,78391.2,144748.4,577855.1
Ni 232.003,232.0338,1590.8,1511.8,1999.4,6115.1,46614.1,151729.6,216218.1,416763.9,1796112.4
Ni 232.003,232.0409,1492.0,1452.6,1573.9,2605.3,12470.1,36879.1,50922.6,92943.6,356478.5
Hf 232.247,232.1927,1438.1,1407.7,1445.1,1709.5,4227.4,10053.5,12961.4,20351.0,44558.9
Hf 232.247,232.1998,1392.5,1357.2,1393.1,1666.2,4173.8,10010.9,12924.4,20376.9,45059.1
Hf 232.247,232.2069,1392.6,1352.9,1387.1,1654.6,4060.2,9685.7,12481.5,19633.5,43115.8
Hf 232.247,232.21400000000003,1380.4,1351.8,1381.4,1640.9,4028.2,9574.4,12348.2,19394.4,42199.1
Hf 232.247,232.2211,1371.1,1338.7,1370.2,1641.6,4138.1,10003.5,12947.1,20445.7,44956.1
Hf 232.247,232.2282,1380.4,1345.9,1391.6,1814.2,5706.6,15314.8,20379.2,33930.8,88588.6
Hf 232.247,232.2353,1409.8,1369.9,1440.7,1945.6,6597.7,18090.3,24190.4,40809.3,110420.1
Hf 232.247,232.2424,1542.4,1509.9,1548.0,1861.9,4682.0,11299.8,14644.2,23196.2,51233.8
Hf 232.247,232.2495,1501.4,1461.3,1498.4,1805.8,4532.4,10878.1,14032.1,22042.7,46408.0
Hf 232.247,232.2566,1468.2,1436.1,1472.5,1786.3,4609.6,11146.4,14422.3,22675.9,47262.4
Hf 232.247,232.2637,1846.3,1811.4,1845.6,2177.9,5070.3,11904.9,15350.1,23961.3,49532.9
Hf 232.247,232.2708,1588.6,1546.9,1587.2,1916.9,4953.0,12075.9,15617.3,24592.7,50566.1
Hf 232.247,232.2779,1630.9,1593.2,1640.0,1983.7,5131.0,12535.6,16248.5,25558.7,52152.1
Hf 232.247,232.285,1881.6,1841.1,1880.8,2250.6,5602.4,13551.5,17538.3,27592.7,56412.8
Ta 233.198,233.1438,1067.5,1030.5,1185.5,2552.1,15470.9,46541.2,63554.4,110847.3,307040.1
Ta 233.198,233.1509,917.3,878.7,965.1,1741.9,8853.8,25006.4,33528.5,56482.1,147044.8
Ta 233.198,233.158,874.2,834.7,927.3,1720.8,9043.6,25695.6,34455.3,57933.9,145875.3
Ta 233.198,233.1652,861.2,834.1,909.7,1581.5,7671.1,21040.0,27866.7,46075.9,112536.7
Ta 233.198,233.1723,871.8,844.7,900.9,1397.3,5751.6,14588.3,18859.8,29701.3,67432.6
Ta 233.198,233.1794,1071.7,1043.4,1102.2,1645.2,6296.8,15405.0,19609.5,29977.4,63702.8
Ta 233.198,233.1866,1153.6,1085.6,1168.8,1889.2,8015.6,19404.1,24435.5,36258.9,69691.2
Ta 233.198,233.1937,955.3,883.0,950.5,1539.1,6691.7,16544.8,21095.8,32200.0,68328.7
Ta 233.198,233.2008,1147.9,1116.9,1178.5,1679.3,6075.7,14775.8,18809.5,28746.5,60288.5
Ta 233.198,233.2079,990.0,962.1,1021.7,1548.9,6145.0,15162.8,19343.9,29402.3,58870.3
Ta 233.198,233.2151,896.5,863.3,936.3,1582.6,7211.4,18429.5,23676.8,36141.7,69497.3
Ta 233.198,233.2222,894.5,856.3,933.6,1567.1,7264.6,18966.8,24540.1,38176.3,77123.9
Ta 233.198,233.2293,901.2,867.7,934.3,1561.9,7215.7,18919.7,24552.8,38077.2,74600.5
Ta 233.198,233.2365,1031.8,1000.0,1084.9,1812.5,8488.4,22608.2,29425.7,45876.9,88579.1
Rh 233.477,233.4192,895.9,794.2,832.5,1173.6,4290.4,11598.4,15295.3,24850.5,54729.3
Rh 233.477,233.4264,936.9,816.0,864.3,1249.5,4762.1,13194.0,17538.1,28774.7,63792.4
Rh 233.477,233.4335,1168.4,1011.6,1049.5,1398.2,4539.8,11969.6,15734.3,25326.7,54417.8
Rh 233.477,233.4407,1088.5,963.5,1005.1,1343.5,4435.2,11717.3,15364.5,24685.9,53485.6
Rh 233.477,233.4478,1057.4,930.3,972.3,1317.9,4512.0,12158.0,16100.6,26332.4,64244.8
Rh 233.477,233.4549,993.4,834.7,871.6,1214.6,4293.2,11621.7,15377.2,25037.3,59684.5
Rh 233.477,233.4621,1154.0,949.8,988.7,1336.9,4528.4,12188.3,16097.9,26172.8,57326.7
Rh 233.477,233.4692,1248.2,1014.1,1051.9,1379.7,4332.9,11346.0,14937.5,24211.4,53552.3
Rh 233.477,233.4764,1115.4,854.3,883.4,1179.7,3851.8,10178.6,13415.1,21797.0,49073.7
Rh 233.477,233.4835,1400.8,1065.9,1100.3,1386.4,4005.2,10229.1,13393.9,21589.3,48390.8
Rh 233.477,233.4906,1534.4,815.0,840.8,1135.8,3761.2,10014.0,13232.0,21522.8,48601.5
Rh 233.477,233.4978,1728.5,751.3,783.5,1071.7,3708.1,9970.1,13211.1,21591.5,48869.3
Rh 233.477,233.5049,1784.4,767.1,795.6,1083.3,3727.1,10030.2,13281.6,21737.4,49675.2
Rh 233.477,233.5121,3298.3,748.5,782.2,1116.4,4168.7,11590.4,15422.9,25502.2,58661.2
Rh 233.477,233.5192,40317.6,762.7,806.3,1130.7,4191.9,11605.2,15534.6,25777.6,61445.3
Rh 233.477,233.5263,154704.9,771.4,831.4,1128.7,3997.5,10957.0,14591.4,24193.2,58568.2
Rh 233.477,233.5335,19244.9,809.7,850.2,1139.1,3898.6,10548.6,13991.3,23015.8,53561.7
Rh 233.477,233.5406,3060.4,912.4,953.0,1275.6,4125.9,11059.8,14701.0,24161.5,55616.4
Rh 233.477,233.5478,1795.0,786.5,822.4,1121.4,3848.7,10428.8,13817.6,22696.9,51351.7
Rh 233.477,233.5549,1797.7,803.4,833.1,1101.6,3562.1,9447.4,12462.6,20279.7,45271.1
Rh 233.477,233.562,1468.6,823.8,855.0,1121.2,3554.8,9354.5,12336.8,19977.2,44156.4
Rh 233.477,233.5692,1181.1,847.3,880.0,1122.5,3384.3,8792.7,11566.8,18742.1,42032.4
Fe 234.349,234.2741,2432.4,2394.9,2523.1,4383.1,17400.5,42384.3,51676.7,73509.1,136755.0
Fe 234.349,234.2812,2038.3,1985.8,2143.3,4333.5,19913.3,49950.9,61252.5,86883.3,156553.4
Fe 234.349,234.2884,2208.9,2161.3,2351.1,4807.6,23135.1,58926.5,73123.8,103481.0,180891.6
Fe 234.349,234.2956,2220.9,2163.8,2388.8,5075.4,25483.2,65516.7,81315.1,115970.3,206465.7
Fe 234.349,234.3027,2108.0,2065.2,2341.3,5605.2,31258.4,82208.5,102444.6,147213.7,261297.6
Fe 234.349,234.3099,2214.9,2134.3,2619.7,7638.3,48962.6,131286.6,164282.0,232992.8,378778.2
Fe 234.349,234.3171,2345.3,2206.7,3343.8,14138.1,106105.1,285929.2,358108.8,495017.6,682709.7
Fe 234.349,234.3242,2298.8,2165.8,3288.3,13924.0,105605.3,288824.5,364970.7,518106.4,879373.0
Fe 234.349,234.3314,2655.8,2449.7,4451.6,22724.6,183783.6,511833.6,651416.3,933752.5,9513815.1
Fe 234.349,234.3386,6260.3,5045.9,19634.6,147821.5,1298402.5,3634058.8,4624638.5,7039339.1,15497692.7
Fe 234.349,234.3458,34091.2,24734.9,133513.1,1094579.5,9513303.6,35528084.3,42084687.8,51845918.6,51837270.4
Fe 234.349,234.3529,15215.8,11373.3,53696.1,421547.9,3675632.2,10047397.5,12940722.8,27679960.3,29604018.8
Fe 234.349,234.3601,4376.0,4110.0,7062.3,33474.8,267310.2,749169.4,956817.9,1419631.8,8201273.5
Fe 234.349,234.3673,2813.9,2694.9,3780.2,14191.1,105088.8,296993.0,383593.3,581884.5,2145265.8
Be 234.861,234.8061,4724.6,3751.5,13237.0,96157.1,879579.0,2853013.2,3911861.5,6561709.0,19593454.4
Be 234.861,234.8133,10743.8,7595.1,38205.3,304286.6,2789201.5,9049856.3,12326392.6,26241011.9,47996800.5
Be 234.861,234.8205,3728.6,2989.1,9618.4,67350.8,609369.3,1962374.9,2670622.0,4504530.4,16530810.3
